               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.046005,            0.024503,           0.0041391,             0.77069,             0.59283,             0.68803,             0.36536,            0.040638,            0.013824,            0.011589,           0.0078311,           0.0078311,           0.0078311
                 100,            0.045394,            0.023729,           0.0039776,             0.87477,             0.55694,             0.66329,              0.3593,            0.041873,            0.014279,            0.010671,           0.0077907,           0.0077907,           0.0077907
                 101,            0.046137,            0.024112,           0.0058782,              0.7109,              0.6405,             0.67724,             0.34973,             0.04072,            0.013659,            0.013663,             0.00775,             0.00775,             0.00775
                 102,            0.046247,            0.024483,           0.0040203,             0.83949,             0.59175,             0.69528,              0.3638,            0.041671,            0.013509,            0.010552,           0.0077091,           0.0077091,           0.0077091
                 103,            0.045358,            0.025325,           0.0037797,             0.84991,             0.52631,             0.66371,              0.3771,            0.040927,            0.013249,            0.010822,           0.0076679,           0.0076679,           0.0076679
                 104,              0.0452,            0.024446,           0.0043419,             0.85249,             0.53652,               0.667,             0.38464,            0.039929,            0.014256,            0.010217,           0.0076265,           0.0076265,           0.0076265
                 105,            0.043497,            0.024106,           0.0047337,             0.90277,             0.52439,             0.69253,             0.39533,              0.0406,            0.013234,            0.010644,           0.0075848,           0.0075848,           0.0075848
                 106,            0.043868,            0.024085,           0.0046931,              0.7711,             0.56247,             0.66093,             0.37017,            0.039929,            0.013499,           0.0095252,            0.007543,            0.007543,            0.007543
                 107,             0.04457,            0.023675,           0.0037885,             0.83343,             0.55004,             0.67117,             0.38419,            0.039234,             0.01336,            0.013283,           0.0075009,           0.0075009,           0.0075009
                 108,            0.044892,            0.023519,           0.0036107,             0.93243,             0.46356,             0.61573,             0.33179,            0.042106,            0.014687,           0.0070562,           0.0074585,           0.0074585,           0.0074585
                 109,            0.044041,             0.02435,           0.0043682,             0.88184,             0.50687,             0.65918,             0.34079,            0.041026,            0.014271,            0.011645,            0.007416,            0.007416,            0.007416
                 110,            0.044268,            0.023991,           0.0049613,             0.77902,              0.5047,             0.63969,              0.3722,            0.038223,            0.013816,           0.0099682,           0.0073733,           0.0073733,           0.0073733
                 111,            0.042471,            0.024713,           0.0042048,             0.83012,              0.5306,             0.67663,             0.36312,            0.038287,            0.013733,            0.010615,           0.0073303,           0.0073303,           0.0073303
                 112,            0.044361,            0.023419,           0.0035786,             0.73821,             0.54533,              0.6491,             0.34326,             0.03987,            0.013558,            0.012169,           0.0072872,           0.0072872,           0.0072872
                 113,            0.042837,             0.02332,           0.0039511,             0.77413,             0.58856,             0.69484,             0.37947,            0.039316,             0.01364,             0.01309,           0.0072438,           0.0072438,           0.0072438
                 114,            0.044233,            0.022525,           0.0044312,             0.81389,              0.5996,             0.67196,             0.38256,            0.040082,             0.01316,             0.01144,           0.0072003,           0.0072003,           0.0072003
                 115,             0.04269,             0.02258,           0.0047769,             0.87395,             0.55852,             0.71572,             0.37041,            0.040049,            0.012893,            0.012271,           0.0071566,           0.0071566,           0.0071566
                 116,            0.043701,            0.023743,           0.0044949,             0.89517,              0.5559,             0.68468,              0.3823,            0.039839,            0.013597,           0.0085071,           0.0071127,           0.0071127,           0.0071127
                 117,            0.043436,             0.02401,           0.0040687,             0.89144,             0.53131,             0.67439,             0.36367,            0.040285,             0.01309,            0.008181,           0.0070686,           0.0070686,           0.0070686
                 118,            0.042109,            0.022964,           0.0036768,             0.88837,             0.53342,             0.66565,             0.38045,            0.039279,            0.014008,           0.0079342,           0.0070243,           0.0070243,           0.0070243
                 119,            0.042229,            0.022077,           0.0042939,             0.84426,             0.53938,             0.65325,             0.36016,            0.041547,            0.013917,            0.012968,           0.0069799,           0.0069799,           0.0069799
                 120,            0.042374,            0.022599,           0.0044443,             0.88364,             0.45132,              0.6332,             0.35494,            0.040716,            0.013595,            0.011416,           0.0069353,           0.0069353,           0.0069353
                 121,            0.042792,            0.024501,           0.0048014,             0.85247,             0.52728,             0.67881,             0.37251,            0.039101,            0.013503,           0.0081152,           0.0068906,           0.0068906,           0.0068906
                 122,            0.042685,            0.024238,           0.0038802,             0.78368,              0.6075,             0.70065,             0.39686,            0.039006,            0.013207,            0.011087,           0.0068457,           0.0068457,           0.0068457
                 123,            0.042143,            0.023367,           0.0043947,              0.5669,             0.65339,             0.63965,             0.37062,            0.038425,            0.013148,            0.010887,           0.0068006,           0.0068006,           0.0068006
